shapeGroup,shapeID,shapeISO,shapeName,shapeType,prob0,prob1,prob2,prob3,prob4
AFG,AFG-ADM0-3_0_0-B1,AFG,Afghanistan,ADM0,99.21974977518357,94.42379277311515,85.39757053930144,,
AGO,AGO-ADM0-3_0_0-B1,AGO,Angola,ADM0,98.52067510257274,67.50701305108063,60.96185896047164,94.03964183172019,
ALB,ALB-ADM0-3_0_0-B1,ALB,Albania,ADM0,,,,,
AND,AND-ADM0-3_0_0-B1,AND,Andorra,ADM0,,,,,
ARE,ARE-ADM0-3_0_0-B1,ARE,United Arab Emirates,ADM0,,,,,
ARG,ARG-ADM0-3_0_0-B1,ARG,Argentina,ADM0,,,,,
ARM,ARM-ADM0-3_0_0-B1,ARM,Armenia,ADM0,,,,,
ATA,ATA-ADM0-3_0_0-B1,ATA,Antarctica,ADM0,,,,,
ATG,ATG-ADM0-3_0_0-B1,ATG,Antigua and Barbuda,ADM0,,,,,
AUS,AUS-ADM0-3_0_0-B1,AUS,Australia,ADM0,,,,,
AUT,AUT-ADM0-3_0_0-B1,AUT,Austria,ADM0,,,,,
AZE,AZE-ADM0-3_0_0-B1,AZE,Azerbaijan,ADM0,,,,,
BDI,BDI-ADM0-3_0_0-B1,BDI,Burundi,ADM0,,,,,
BEL,BEL-ADM0-3_0_0-B1,BEL,Belgium,ADM0,,,,,
BEN,BEN-ADM0-3_0_0-B1,BEN,Benin,ADM0,,,,,
BFA,BFA-ADM0-3_0_0-B1,BFA,Burkina Faso,ADM0,,,,,
BGD,BGD-ADM0-3_0_0-B1,BGD,Bangladesh,ADM0,,,,,
BGR,BGR-ADM0-3_0_0-B1,BGR,Bulgaria,ADM0,,,,,
BHR,BHR-ADM0-3_0_0-B1,BHR,Bahrain,ADM0,,,,,
BHS,BHS-ADM0-3_0_0-B1,BHS,Bahamas,ADM0,,,,,
BIH,BIH-ADM0-3_0_0-B1,BIH,Bosnia and Herzegovina,ADM0,,,,,
BLR,BLR-ADM0-3_0_0-B1,BLR,Belarus,ADM0,,,,,
BLZ,BLZ-ADM0-3_0_0-B1,BLZ,Belize,ADM0,,,,,
BOL,BOL-ADM0-3_0_0-B1,BOL,Bolivia (Plurinational State *,ADM0,,,,,
BRA,BRA-ADM0-3_0_0-B1,BRA,Brazil,ADM0,,,,,
BRB,BRB-ADM0-3_0_0-B1,BRB,Barbados,ADM0,,,,,
BRN,BRN-ADM0-3_0_0-B1,BRN,Brunei Darussalam,ADM0,,,,,
BTN,BTN-ADM0-3_0_0-B1,BTN,Bhutan,ADM0,,,,,
BWA,BWA-ADM0-3_0_0-B1,BWA,Botswana,ADM0,,,,,
CAF,CAF-ADM0-3_0_0-B1,CAF,Central African Republic,ADM0,,,,,
CAN,CAN-ADM0-3_0_0-B1,CAN,Canada,ADM0,,,,,
CHE,CHE-ADM0-3_0_0-B1,CHE,Switzerland,ADM0,,,,,
CHL,CHL-ADM0-3_0_0-B1,CHL,Chile,ADM0,,,,,
CHN,CHN-ADM0-3_0_0-B1,CHN,People's Republic of China,ADM0,,,,,
CIV,CIV-ADM0-3_0_0-B1,CIV,Côte d'Ivoire,ADM0,,,,,
CMR,CMR-ADM0-3_0_0-B1,CMR,Cameroon,ADM0,,,,,
COD,COD-ADM0-3_0_0-B1,COD,Democratic Republic of the Congo,ADM0,,,,,
COG,COG-ADM0-3_0_0-B1,COG,Congo,ADM0,,,,,
COL,COL-ADM0-3_0_0-B1,COL,Colombia,ADM0,,,,,
COM,COM-ADM0-3_0_0-B1,COM,Comoros,ADM0,,,,,
CPV,CPV-ADM0-3_0_0-B1,CPV,Cabo Verde,ADM0,,,,,
CRI,CRI-ADM0-3_0_0-B1,CRI,Costa Rica,ADM0,,,,,
CUB,CUB-ADM0-3_0_0-B1,CUB,Cuba,ADM0,,,,,
CYP,CYP-ADM0-3_0_0-B1,CYP,Cyprus,ADM0,,,,,
CZE,CZE-ADM0-3_0_0-B1,CZE,Czech Republic,ADM0,,,,,
DEU,DEU-ADM0-3_0_0-B1,DEU,Germany,ADM0,,,,,
DJI,DJI-ADM0-3_0_0-B1,DJI,Djibouti,ADM0,,,,,
DMA,DMA-ADM0-3_0_0-B1,DMA,Dominica,ADM0,,,,,
DNK,DNK-ADM0-3_0_0-B1,DNK,Denmark,ADM0,,,,,
DOM,DOM-ADM0-3_0_0-B1,DOM,Dominican Republic,ADM0,,,,,
DZA,DZA-ADM0-3_0_0-B1,DZA,Algeria,ADM0,,,,,
ECU,ECU-ADM0-3_0_0-B1,ECU,Ecuador,ADM0,,,,,
EGY,EGY-ADM0-3_0_0-B1,EGY,Egypt,ADM0,,,,,
ERI,ERI-ADM0-3_0_0-B1,ERI,Eritrea,ADM0,,,,,
ESP,ESP-ADM0-3_0_0-B1,ESP,Spain,ADM0,,,,,
EST,EST-ADM0-3_0_0-B1,EST,Estonia,ADM0,,,,,
ETH,ETH-ADM0-3_0_0-B1,ETH,Ethiopia,ADM0,,,,,
FIN,FIN-ADM0-3_0_0-B1,FIN,Finland,ADM0,,,,,
FJI,FJI-ADM0-3_0_0-B1,FJI,Fiji,ADM0,,,,,
FRA,FRA-ADM0-3_0_0-B1,FRA,France,ADM0,,,,,
FSM,FSM-ADM0-3_0_0-B1,FSM,Federated States of Micronesia,ADM0,,,,,
GAB,GAB-ADM0-3_0_0-B1,GAB,Gabon,ADM0,,,,,
GBR,GBR-ADM0-3_0_0-B1,GBR,United Kingdom,ADM0,,,,,
GEO,GEO-ADM0-3_0_0-B1,GEO,Georgia,ADM0,,,,,
GHA,GHA-ADM0-3_0_0-B1,GHA,Ghana,ADM0,,,,,
GIN,GIN-ADM0-3_0_0-B1,GIN,Guinea,ADM0,,,,,
GMB,GMB-ADM0-3_0_0-B1,GMB,Gambia,ADM0,,,,,
GNB,GNB-ADM0-3_0_0-B1,GNB,Guinea-Bissau,ADM0,,,,,
GNQ,GNQ-ADM0-3_0_0-B1,GNQ,Equatorial Guinea,ADM0,,,,,
GRC,GRC-ADM0-3_0_0-B1,GRC,Greece,ADM0,,,,,
GRD,GRD-ADM0-3_0_0-B1,GRD,Grenada,ADM0,,,,,
GRL,GRL-ADM0-3_0_0-B1,GRL,Greenland,ADM0,,,,,
GTM,GTM-ADM0-3_0_0-B1,GTM,Guatemala,ADM0,,,,,
GUY,GUY-ADM0-3_0_0-B1,GUY,Guyana,ADM0,,,,,
HND,HND-ADM0-3_0_0-B1,HND,Honduras,ADM0,,,,,
HRV,HRV-ADM0-3_0_0-B1,HRV,Croatia,ADM0,,,,,
HTI,HTI-ADM0-3_0_0-B1,HTI,Haiti,ADM0,,,,,
HUN,HUN-ADM0-3_0_0-B1,HUN,Hungary,ADM0,,,,,
IDN,IDN-ADM0-3_0_0-B1,IDN,Indonesia,ADM0,,,,,
IND,IND-ADM0-3_0_0-B1,IND,India,ADM0,,,,,
IRL,IRL-ADM0-3_0_0-B1,IRL,Ireland,ADM0,,,,,
IRN,IRN-ADM0-3_0_0-B1,IRN,Iran,ADM0,,,,,
IRQ,IRQ-ADM0-3_0_0-B1,IRQ,Iraq,ADM0,,,,,
ISL,ISL-ADM0-3_0_0-B1,ISL,Iceland,ADM0,,,,,
ISR,ISR-ADM0-3_0_0-B1,ISR,Israel,ADM0,,,,,
ITA,ITA-ADM0-3_0_0-B1,ITA,Italy,ADM0,,,,,
JAM,JAM-ADM0-3_0_0-B1,JAM,Jamaica,ADM0,,,,,
JOR,JOR-ADM0-3_0_0-B1,JOR,Jordan,ADM0,,,,,
JPN,JPN-ADM0-3_0_0-B1,JPN,Japan,ADM0,,,,,
KAZ,KAZ-ADM0-3_0_0-B1,KAZ,Kazakhstan,ADM0,,,,,
KEN,KEN-ADM0-3_0_0-B1,KEN,Kenya,ADM0,,,,,
KGZ,KGZ-ADM0-3_0_0-B1,KGZ,Kyrgyzstan,ADM0,,,,,
KHM,KHM-ADM0-3_0_0-B1,KHM,Cambodia,ADM0,,,,,
KIR,KIR-ADM0-3_0_0-B1,KIR,Kiribati,ADM0,,,,,
KNA,KNA-ADM0-3_0_0-B1,KNA,Saint Kitts and Nevis,ADM0,,,,,
KOR,KOR-ADM0-3_0_0-B1,KOR,Korea (Republic of),ADM0,,,,,
KWT,KWT-ADM0-3_0_0-B1,KWT,Kuwait,ADM0,,,,,
LAO,LAO-ADM0-3_0_0-B1,LAO,Lao People's Democratic Repub*,ADM0,,,,,
LBN,LBN-ADM0-3_0_0-B1,LBN,Lebanon,ADM0,,,,,
LBR,LBR-ADM0-3_0_0-B1,LBR,Liberia,ADM0,,,,,
LBY,LBY-ADM0-3_0_0-B1,LBY,Libya,ADM0,,,,,
LCA,LCA-ADM0-3_0_0-B1,LCA,Saint Lucia,ADM0,,,,,
LIE,LIE-ADM0-3_0_0-B1,LIE,Liechtenstein,ADM0,,,,,
LKA,LKA-ADM0-3_0_0-B1,LKA,Sri Lanka,ADM0,,,,,
LSO,LSO-ADM0-3_0_0-B1,LSO,Lesotho,ADM0,,,,,
LTU,LTU-ADM0-3_0_0-B1,LTU,Lithuania,ADM0,,,,,
LUX,LUX-ADM0-3_0_0-B1,LUX,Luxembourg,ADM0,,,,,
LVA,LVA-ADM0-3_0_0-B1,LVA,Latvia,ADM0,,,,,
MAR,MAR-ADM0-3_0_0-B1,MAR,Morocco,ADM0,,,,,
MCO,MCO-ADM0-3_0_0-B1,MCO,Monaco,ADM0,,,,,
MDA,MDA-ADM0-3_0_0-B1,MDA,Moldova,ADM0,,,,,
MDG,MDG-ADM0-3_0_0-B1,MDG,Madagascar,ADM0,,,,,
MDV,MDV-ADM0-3_0_0-B1,MDV,Maldives,ADM0,,,,,
MEX,MEX-ADM0-3_0_0-B1,MEX,Mexico,ADM0,,,,,
MHL,MHL-ADM0-3_0_0-B1,MHL,Marshall Islands,ADM0,,,,,
MKD,MKD-ADM0-3_0_0-B1,MKD,Republic of Macedonia,ADM0,,,,,
MLI,MLI-ADM0-3_0_0-B1,MLI,Mali,ADM0,,,,,
MLT,MLT-ADM0-3_0_0-B1,MLT,Malta,ADM0,,,,,
MMR,MMR-ADM0-3_0_0-B1,MMR,Myanmar,ADM0,,,,,
MNE,MNE-ADM0-3_0_0-B1,MNE,Montenegro,ADM0,,,,,
MNG,MNG-ADM0-3_0_0-B1,MNG,Mongolia,ADM0,,,,,
MOZ,MOZ-ADM0-3_0_0-B1,MOZ,Mozambique,ADM0,,,,,
MRT,MRT-ADM0-3_0_0-B1,MRT,Mauritania,ADM0,,,,,
MUS,MUS-ADM0-3_0_0-B1,MUS,Mauritius,ADM0,,,,,
MWI,MWI-ADM0-3_0_0-B1,MWI,Malawi,ADM0,,,,,
MYS,MYS-ADM0-3_0_0-B1,MYS,Malaysia,ADM0,,,,,
NAM,NAM-ADM0-3_0_0-B1,NAM,Namibia,ADM0,,,,,
NER,NER-ADM0-3_0_0-B1,NER,Niger,ADM0,,,,,
NGA,NGA-ADM0-3_0_0-B1,NGA,Nigeria,ADM0,,,,,
NIC,NIC-ADM0-3_0_0-B1,NIC,Nicaragua,ADM0,,,,,
NLD,NLD-ADM0-3_0_0-B1,NLD,Netherlands,ADM0,,,,,
NOR,NOR-ADM0-3_0_0-B1,NOR,Norway,ADM0,,,,,
NPL,NPL-ADM0-3_0_0-B1,NPL,Federal Democratic Republic of Nepal,ADM0,,,,,
NRU,NRU-ADM0-3_0_0-B1,NRU,Nauru,ADM0,,,,,
NZL,NZL-ADM0-3_0_0-B1,NZL,New Zealand,ADM0,,,,,
OMN,OMN-ADM0-3_0_0-B1,OMN,Oman,ADM0,,,,,
PAK,PAK-ADM0-3_0_0-B1,PAK,Pakistan,ADM0,,,,,
PAN,PAN-ADM0-3_0_0-B1,PAN,Panama,ADM0,,,,,
PER,PER-ADM0-3_0_0-B1,PER,Peru,ADM0,,,,,
PHL,PHL-ADM0-3_0_0-B1,PHL,Philippines,ADM0,,,,,
PLW,PLW-ADM0-3_0_0-B1,PLW,Palau,ADM0,,,,,
PNG,PNG-ADM0-3_0_0-B1,PNG,Papua New Guinea,ADM0,,,,,
POL,POL-ADM0-3_0_0-B1,POL,Poland,ADM0,,,,,
PRK,PRK-ADM0-3_0_0-B1,PRK,Korea (Democratic People's Re*,ADM0,,,,,
PRT,PRT-ADM0-3_0_0-B1,PRT,Portugal,ADM0,,,,,
PRY,PRY-ADM0-3_0_0-B1,PRY,Paraguay,ADM0,,,,,
QAT,QAT-ADM0-3_0_0-B1,QAT,Qatar,ADM0,,,,,
ROU,ROU-ADM0-3_0_0-B1,ROU,Romania,ADM0,,,,,
RUS,RUS-ADM0-3_0_0-B1,RUS,Russian Federation,ADM0,,,,,
RWA,RWA-ADM0-3_0_0-B1,RWA,Rwanda,ADM0,,,,,
SAU,SAU-ADM0-3_0_0-B1,SAU,Saudi Arabia,ADM0,,,,,
SDN,SDN-ADM0-3_0_0-B1,SDN,Sudan,ADM0,,,,,
SEN,SEN-ADM0-3_0_0-B1,SEN,Senegal,ADM0,,,,,
SGP,SGP-ADM0-3_0_0-B1,SGP,Singapore,ADM0,,,,,
SLB,SLB-ADM0-3_0_0-B1,SLB,Solomon Islands,ADM0,,,,,
SLE,SLE-ADM0-3_0_0-B1,SLE,Sierra Leone,ADM0,,,,,
SLV,SLV-ADM0-3_0_0-B1,SLV,El Salvador,ADM0,,,,,
SMR,SMR-ADM0-3_0_0-B1,SMR,San Marino,ADM0,,,,,
SOM,SOM-ADM0-3_0_0-B1,SOM,Somalia,ADM0,,,,,
SRB,SRB-ADM0-3_0_0-B1,SRB,Serbia,ADM0,,,,,
SSD,SSD-ADM0-3_0_0-B1,SSD,South Sudan,ADM0,,,,,
STP,STP-ADM0-3_0_0-B1,STP,Sao Tome and Principe,ADM0,,,,,
SUR,SUR-ADM0-3_0_0-B1,SUR,Suriname,ADM0,,,,,
SVK,SVK-ADM0-3_0_0-B1,SVK,Slovakia,ADM0,,,,,
SVN,SVN-ADM0-3_0_0-B1,SVN,Slovenia,ADM0,,,,,
SWE,SWE-ADM0-3_0_0-B1,SWE,Sweden,ADM0,,,,,
SWZ,SWZ-ADM0-3_0_0-B1,SWZ,Swaziland,ADM0,,,,,
SYC,SYC-ADM0-3_0_0-B1,SYC,Seychelles,ADM0,,,,,
SYR,SYR-ADM0-3_0_0-B1,SYR,Syrian Arab Republic,ADM0,,,,,
TCD,TCD-ADM0-3_0_0-B1,TCD,Chad,ADM0,,,,,
TGO,TGO-ADM0-3_0_0-B1,TGO,Togo,ADM0,,,,,
THA,THA-ADM0-3_0_0-B1,THA,Thailand,ADM0,,,,,
TJK,TJK-ADM0-3_0_0-B1,TJK,Tajikistan,ADM0,,,,,
TKM,TKM-ADM0-3_0_0-B1,TKM,Turkmenistan,ADM0,,,,,
TLS,TLS-ADM0-3_0_0-B1,TLS,Timor-Leste,ADM0,,,,,
TON,TON-ADM0-3_0_0-B1,TON,Tonga,ADM0,,,,,
TTO,TTO-ADM0-3_0_0-B1,TTO,Trinidad and Tobago,ADM0,,,,,
TUN,TUN-ADM0-3_0_0-B1,TUN,Tunisia,ADM0,,,,,
TUR,TUR-ADM0-3_0_0-B1,TUR,Turkey,ADM0,,,,,
TUV,TUV-ADM0-3_0_0-B1,TUV,Tuvalu,ADM0,,,,,
TWN,TWN-ADM0-3_0_0-B1,TWN,"Taiwan, Province of China",ADM0,,,,,
TZA,TZA-ADM0-3_0_0-B1,TZA,"Tanzania, United Republic of",ADM0,,,,,
UGA,UGA-ADM0-3_0_0-B1,UGA,Uganda,ADM0,,,,,
UKR,UKR-ADM0-3_0_0-B1,UKR,Ukraine,ADM0,,,,,
URY,URY-ADM0-3_0_0-B1,URY,Uruguay,ADM0,,,,,
USA,USA-ADM0-3_0_0-B1,USA,United States,ADM0,,,,,
UZB,UZB-ADM0-3_0_0-B1,UZB,Uzbekistan,ADM0,,,,,
VCT,VCT-ADM0-3_0_0-B1,VCT,Saint Vincent and Grenadines,ADM0,,,,,
VEN,VEN-ADM0-3_0_0-B1,VEN,Venezuela (Bolivarian Republi*,ADM0,,,,,
VNM,VNM-ADM0-3_0_0-B1,VNM,Viet Nam,ADM0,,,,,
VUT,VUT-ADM0-3_0_0-B1,VUT,Vanuatu,ADM0,,,,,
WSM,WSM-ADM0-3_0_0-B1,WSM,Samoa,ADM0,,,,,
XKX,XKX-ADM0-3_0_0-B1,XKX,Kosovo,ADM0,,,,,
YEM,YEM-ADM0-3_0_0-B1,YEM,Yemen,ADM0,,,,,
ZAF,ZAF-ADM0-3_0_0-B1,ZAF,South Africa,ADM0,,,,,
ZMB,ZMB-ADM0-3_0_0-B1,ZMB,Zambia,ADM0,,,,,
ZWE,ZWE-ADM0-3_0_0-B1,ZWE,Zimbabwe,ADM0,,,,,
